MUNICIPIO_COD;MREH0116;MREH0126;MREH0136;MREH0146;MREH0156;MREH0166;MREH0111;MREH0121;MREH0131;MREH0141;MREH0151;MREH0161;MREH0112;MREH0122;MREH0132;MREH0142;MREH0152;MREH0162;MREH0113;MREH0123;MREH0133;MREH0143;MREH0153;MREH0163;MREH0114;MREH0134;MREH0144;MREH0154;MREH0164;MREH0115;MREH0125;MREH0135;MREH0145;MREH0155;MREH0165;MREH02;MREH0316;MREH0326;MREH0336;MREH0346;MREH0356;MREH0366;MREH0311;MREH0321;MREH0331;MREH0341;MREH0351;MREH0361;MREH0312;MREH0322;MREH0332;MREH0342;MREH0352;MREH0362;MREH0313;MREH0323;MREH0333;MREH0343;MREH0353;MREH0363;MREH0314;MREH0334;MREH0344;MREH0354;MREH0364;MREH0315;MREH0325;MREH0335;MREH0345;MREH0355;MREH0365;MREH04
2509404;689;2;212;258;103;114;389;2;78;159;48;102;0;0;0;0;0;0;52;0;2;24;23;3;0;0;0;0;0;248;0;132;75;32;9;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2509503;389;0;18;215;149;7;200;0;12;118;63;7;0;0;0;0;0;0;68;0;0;5;63;0;0;0;0;0;0;121;0;6;92;23;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2509602;245;-1;-1;-1;-1;-1;142;-1;-1;-1;-1;-1;11;-1;-1;-1;-1;-1;56;-1;-1;-1;-1;-1;0;0;0;0;0;36;-1;-1;-1;-1;-1;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2509701;1532;15;200;689;416;212;1068;15;174;425;245;209;0;0;0;0;0;0;169;0;5;120;44;0;0;0;0;0;0;295;0;21;144;127;3;Sim;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;Não
2509800;443;0;125;162;110;46;277;0;91;110;34;42;0;0;0;0;0;0;51;0;12;18;21;0;0;0;0;0;0;115;0;22;34;55;4;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2509909;628;0;124;305;169;30;348;0;99;134;95;20;0;0;0;0;0;0;90;0;12;51;20;7;0;0;0;0;0;190;0;13;120;54;3;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2510006;310;9;63;151;76;11;257;9;59;115;64;10;0;0;0;0;0;0;20;0;3;11;5;1;0;0;0;0;0;33;0;1;25;7;0;Sim;3;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;0;0;0;0;0;0;2;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;Não
2510105;434;108;38;140;148;0;337;76;33;114;114;0;0;0;0;0;0;0;40;7;4;15;14;0;0;0;0;0;0;57;25;1;11;20;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2510204;352;48;23;146;62;73;278;34;16;115;43;70;0;0;0;0;0;0;52;9;6;23;11;3;0;0;0;0;0;22;5;1;8;8;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2510303;296;0;86;102;107;1;241;0;75;83;82;1;0;0;0;0;0;0;28;0;8;12;8;0;0;0;0;0;0;27;0;3;7;17;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2510402;462;-1;-1;-1;-1;-1;286;-1;-1;-1;-1;-1;0;0;0;0;0;0;115;-1;-1;-1;-1;-1;0;0;0;0;0;61;-1;-1;-1;-1;-1;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2510501;296;0;102;93;56;45;209;0;80;59;26;44;0;0;0;0;0;0;22;0;5;9;8;0;0;0;0;0;0;65;0;17;25;22;1;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
